Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2023/03/12,01:34 AM,26.22,23.89,87.0,,2.41,4.34,1012.19,0.0,0.0,0.0,0.0
2023/03/12,01:39 AM,26.28,24.0,87.0,,2.25,5.31,1012.19,0.0,0.0,0.0,0.0
2023/03/12,01:54 AM,26.17,23.94,88.0,,0.97,3.54,1011.85,0.0,0.0,0.0,0.0
2023/03/12,01:59 AM,26.11,23.89,88.0,,0.97,3.22,1011.85,0.0,0.0,0.0,0.0
2023/03/12,02:04 AM,26.11,23.89,88.0,,1.77,4.83,1011.85,0.0,0.0,0.0,0.0
2023/03/12,02:09 AM,26.0,23.78,88.0,,1.61,4.67,1012.19,0.0,0.0,0.0,0.0
2023/03/12,02:14 AM,25.94,23.94,89.0,,1.29,3.7,1012.19,0.0,0.0,0.0,0.0
2023/03/12,02:19 AM,25.89,23.89,89.0,,1.61,3.86,1012.19,0.0,0.0,0.0,0.0
2023/03/12,02:24 AM,25.89,23.89,89.0,,1.13,2.9,1012.19,0.0,0.0,0.0,0.0
2023/03/12,02:29 AM,25.89,23.89,89.0,,1.61,2.9,1012.19,0.0,0.0,0.0,0.0
2023/03/12,02:34 AM,25.89,23.83,89.0,,2.9,5.63,1012.19,0.0,0.0,0.0,0.0
2023/03/12,02:39 AM,25.89,23.78,88.0,,2.74,6.11,1012.19,0.0,0.0,0.0,0.0
2023/03/12,02:44 AM,25.89,23.72,88.0,,4.18,7.72,1012.19,0.0,0.0,0.0,0.0
2023/03/12,02:49 AM,25.83,23.67,88.0,,2.74,6.6,1012.19,0.0,0.0,0.0,0.0
2023/03/12,02:54 AM,25.72,23.56,88.0,,2.74,7.24,1012.19,0.0,0.0,0.0,0.0
2023/03/12,02:59 AM,25.72,23.5,88.0,,3.06,6.44,1012.19,0.0,0.0,0.0,0.0
2023/03/12,03:04 AM,25.72,23.5,88.0,,2.57,6.44,1012.19,0.0,0.0,0.0,0.0
2023/03/12,03:09 AM,25.61,23.39,88.0,,2.57,5.63,1012.19,0.0,0.0,0.0,0.0
2023/03/12,03:14 AM,25.61,23.39,88.0,,2.41,6.11,1012.19,0.0,0.0,0.0,0.0
2023/03/12,03:19 AM,25.61,23.39,88.0,,3.06,5.79,1012.53,0.0,0.0,0.0,0.0
2023/03/12,03:24 AM,25.61,23.39,88.0,,3.06,6.6,1012.53,0.0,0.0,0.0,0.0
2023/03/12,03:29 AM,25.61,23.39,88.0,,2.57,5.63,1012.19,0.0,0.0,0.0,0.0
2023/03/12,03:34 AM,25.61,23.39,88.0,,1.93,5.15,1012.19,0.0,0.0,0.0,0.0
2023/03/12,03:39 AM,25.56,23.39,88.0,,2.09,4.83,1012.19,0.0,0.0,0.0,0.0
2023/03/12,03:44 AM,25.5,23.39,88.0,,2.41,5.47,1012.19,0.0,0.0,0.0,0.0
2023/03/12,03:49 AM,25.56,23.39,88.0,,2.41,5.95,1012.19,0.0,0.0,0.0,0.0
2023/03/12,03:54 AM,25.5,23.28,87.0,,3.38,6.6,1012.19,0.0,0.0,0.0,0.0
2023/03/12,03:59 AM,25.5,23.22,87.0,,4.02,8.69,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:04 AM,25.5,23.22,87.0,,3.7,6.44,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:09 AM,25.39,23.11,87.0,,1.77,4.51,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:14 AM,25.39,23.11,87.0,,2.74,5.15,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:19 AM,25.44,23.06,87.0,,2.74,6.6,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:24 AM,25.5,23.0,86.0,,5.31,8.85,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:29 AM,25.5,23.06,86.0,,3.22,6.76,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:34 AM,25.39,23.06,87.0,,1.61,4.99,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:39 AM,25.39,23.11,87.0,,2.09,3.7,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:44 AM,25.39,23.11,87.0,,1.93,4.99,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:49 AM,25.33,23.06,87.0,,3.06,6.6,1012.53,0.0,0.0,0.0,0.0
2023/03/12,04:54 AM,25.22,22.89,87.0,,4.34,8.69,1012.87,0.0,0.0,0.0,0.0
