Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Category
01-09-1991,25.0,30.8,27.3,73.0,0.0,7.2,4.0,10.0,1.0,N ,Sun
02-09-1991,25.0,31.2,27.4,76.0,0.0,7.4,5.0,330.0,2.0,N ,Sun
03-09-1991,25.0,31.9,27.4,74.0,0.0,8.0,5.0,20.0,2.0,N ,Sun
04-09-1991,24.0,32.1,27.8,72.0,0.0,4.2,6.0,90.0,2.0,E ,Sun
05-09-1991,24.0,34.4,28.3,66.0,0.0,5.0,6.0,80.0,3.0,E ,Sun
06-09-1991,22.0,32.0,27.6,66.0,0.0,7.4,4.0,360.0,2.0,N ,Sun
07-09-1991,24.0,33.2,27.6,65.0,0.0,6.2,5.0,350.0,3.0,E ,Sun
08-09-1991,24.0,32.4,27.2,68.0,0.0,7.0,6.0,250.0,3.0,E ,Sun
09-09-1991,24.0,33.8,28.4,62.0,0.0,3.8,8.0,50.0,2.0,NE,Sun
10-09-1991,25.0,34.3,27.9,64.0,0.0,5.5,6.0,350.0,2.0,N ,Sun
11-09-1991,25.0,32.5,28.1,65.0,0.0,8.0,6.0,350.0,2.0,N ,Sun
12-09-1991,24.0,32.8,27.7,70.0,0.0,6.0,6.0,60.0,3.0,E ,Sun
13-09-1991,23.0,32.6,27.2,67.0,0.0,4.3,6.0,310.0,2.0,N ,Sun
14-09-1991,24.0,31.0,26.5,65.0,0.0,8.0,5.0,350.0,2.0,N ,Sun
15-09-1991,24.0,30.5,26.6,64.0,0.0,6.2,4.0,330.0,2.0,N ,Sun
16-09-1991,23.0,32.2,27.3,61.0,0.0,6.5,5.0,350.0,1.0,N ,Sun
17-09-1991,23.0,32.6,27.0,61.0,0.0,4.5,6.0,10.0,3.0,NE,Sun
18-09-1991,24.0,32.8,27.6,61.0,0.0,8.0,6.0,360.0,2.0,NE,Sun
19-09-1991,24.0,32.2,27.3,63.0,0.0,6.5,7.0,140.0,3.0,SE,Sun
20-09-1991,23.0,32.5,27.6,68.0,0.0,4.8,5.0,80.0,2.0,E ,Sun
21-09-1991,24.0,34.0,27.0,72.0,0.0,7.8,5.0,350.0,3.0,N ,Sun
22-09-1991,24.0,32.2,27.4,69.0,0.0,0.5,4.0,360.0,2.0,N ,Sun
23-09-1991,25.0,32.3,27.6,72.0,0.0,6.5,6.0,10.0,2.0,N ,Sun
24-09-1991,24.0,31.8,28.5,71.0,0.0,7.5,7.0,350.0,2.0,N ,Sun
25-09-1991,24.0,31.8,27.2,71.0,0.0,5.0,5.0,340.0,2.0,N ,Sun
26-09-1991,25.0,32.4,27.5,65.0,0.0,7.5,7.0,30.0,2.0,NE,Sun
27-09-1991,24.0,32.2,27.9,65.0,0.0,8.0,5.0,340.0,1.0,N ,Sun
28-09-1991,23.0,33.7,27.6,69.0,0.0,2.0,5.0,110.0,2.0,N ,Sun
29-09-1991,24.0,33.2,27.4,66.0,0.0,7.1,4.0,360.0,2.0,N ,Sun
30-09-1991,24.0,32.2,27.5,69.0,0.0,5.5,6.0,330.0,2.0,N ,Sun
01-10-1991,24.0,34.7,27.9,64.0,0.0,3.0,5.0,350.0,3.0,N ,Sun
02-10-1991,24.0,33.3,27.5,66.0,0.0,8.0,4.0,10.0,2.0,N ,Sun
03-10-1991,24.0,32.2,27.5,74.0,0.0,8.0,5.0,340.0,2.0,N ,Sun
04-10-1991,25.0,32.8,28.0,64.0,0.0,6.0,6.0,60.0,2.0,E ,Sun
05-10-1991,25.0,33.5,28.1,71.0,0.0,8.0,6.0,20.0,3.0,N ,Sun
06-10-1991,25.0,34.8,28.6,60.0,0.0,3.8,7.0,60.0,3.0,N ,Sun
07-10-1991,25.0,33.2,28.5,67.0,0.0,8.0,5.0,360.0,2.0,N ,Sun
08-10-1991,24.0,34.6,28.3,63.0,0.0,8.0,4.0,20.0,2.0,E ,Sun
09-10-1991,24.0,33.3,27.6,66.0,0.0,8.0,4.0,340.0,1.0,N ,Sun
10-10-1991,24.0,34.4,28.2,61.0,0.0,8.0,5.0,80.0,2.0,N ,Sun
11-10-1991,25.0,34.1,28.8,60.0,0.0,5.0,5.0,60.0,2.0,N ,Sun
12-10-1991,24.0,35.8,29.9,59.0,0.0,0.5,9.0,70.0,2.0,E ,Sun
13-10-1991,24.0,33.6,28.1,68.0,0.0,1.4,4.0,20.0,2.0,E ,Sun
14-10-1991,25.0,34.5,29.1,63.0,0.0,1.7,6.0,60.0,3.0,E ,Sun
15-10-1991,26.0,34.7,28.1,70.0,0.0,6.5,6.0,360.0,3.0,N ,Sun
16-10-1991,24.0,29.7,27.4,79.0,2.0,3.6,5.0,360.0,2.0,N ,Drizzle
17-10-1991,24.0,31.5,27.1,74.0,0.0,0.0,5.0,340.0,2.0,N ,Sun
18-10-1991,25.0,32.6,27.6,70.0,0.0,8.0,6.0,340.0,2.0,N ,Sun
19-10-1991,24.0,33.2,27.5,70.0,0.0,8.0,5.0,340.0,2.0,N ,Sun
20-10-1991,23.0,33.2,27.6,68.0,0.0,0.7,4.0,60.0,2.0,N ,Sun
21-10-1991,25.0,31.0,28.0,73.0,8888.0,4.2,5.0,360.0,2.0,N ,Rain
22-10-1991,25.0,32.4,28.4,69.0,0.0,8.0,5.0,320.0,3.0,N ,Sun
23-10-1991,26.0,33.3,28.2,72.0,0.0,6.6,5.0,310.0,2.0,N ,Sun
24-10-1991,25.0,31.8,28.1,70.0,0.0,7.5,4.0,10.0,2.0,N ,Sun
25-10-1991,26.0,32.4,28.4,69.0,0.0,7.8,5.0,340.0,3.0,N ,Sun
26-10-1991,25.0,34.1,29.0,70.0,0.0,8.0,5.0,350.0,2.0,N ,Sun
27-10-1991,25.0,32.6,28.6,66.0,0.0,3.3,5.0,350.0,2.0,N ,Sun
28-10-1991,25.0,32.8,28.4,68.0,0.0,3.7,5.0,360.0,2.0,N ,Sun
29-10-1991,25.0,34.6,29.0,65.0,0.0,4.5,7.0,80.0,3.0,N ,Sun
30-10-1991,26.0,34.8,28.4,66.0,0.0,5.7,5.0,360.0,2.0,N ,Sun
31-10-1991,24.0,31.5,28.3,69.0,1.4,6.6,5.0,360.0,2.0,N ,Drizzle
01-11-1991,25.0,32.0,28.0,66.0,0.2,6.5,5.0,340.0,1.0,N ,Sun
02-11-1991,25.0,32.2,27.9,71.0,0.0,4.5,4.0,360.0,1.0,N ,Sun
03-11-1991,24.0,31.8,27.9,71.0,0.0,3.6,4.0,330.0,0.0,N ,Sun
04-11-1991,23.0,32.1,26.9,78.0,40.8,5.8,4.0,360.0,1.0,N ,Rain
05-11-1991,24.0,29.6,26.5,76.0,4.8,4.3,4.0,350.0,2.0,N ,Drizzle
06-11-1991,24.0,31.7,26.9,74.0,0.0,2.0,3.0,30.0,2.0,N ,Sun
07-11-1991,23.0,32.4,27.4,74.0,26.5,3.5,4.0,320.0,2.0,N ,Rain
08-11-1991,25.0,28.9,25.7,82.0,0.0,0.6,3.0,290.0,0.0,NW,Sun
09-11-1991,24.0,32.7,27.6,70.0,0.0,0.0,4.0,320.0,2.0,NW,Sun
10-11-1991,24.0,30.1,26.3,78.0,0.0,3.5,3.0,330.0,0.0,NW,Sun
11-11-1991,24.0,32.3,27.5,67.0,0.8,0.0,4.0,350.0,2.0,N ,Sun
12-11-1991,23.0,31.3,26.1,81.0,36.5,1.5,4.0,20.0,1.0,W ,Rain
13-11-1991,23.0,31.2,26.9,80.0,3.5,1.7,4.0,360.0,2.0,N ,Drizzle
14-11-1991,23.0,30.6,26.2,82.0,16.5,1.2,4.0,110.0,0.0,N ,Rain
15-11-1991,23.0,29.2,26.1,82.0,0.0,0.0,5.0,340.0,2.0,N ,Sun
16-11-1991,24.0,30.1,26.4,79.0,8888.0,0.0,3.0,350.0,1.0,E ,Rain
17-11-1991,24.0,30.9,27.2,75.0,0.0,1.7,4.0,350.0,1.0,N ,Sun
18-11-1991,24.0,33.9,28.7,70.0,0.0,0.8,6.0,40.0,2.0,N ,Sun
19-11-1991,24.0,33.4,28.0,74.0,0.0,7.6,6.0,40.0,2.0,N ,Sun
20-11-1991,24.0,31.6,27.7,73.0,6.9,8.0,5.0,20.0,2.0,N ,Rain
21-11-1991,25.0,31.2,27.4,80.0,0.0,3.2,3.0,360.0,2.0,N ,Sun
22-11-1991,24.0,31.6,27.8,76.0,2.4,1.2,4.0,300.0,0.0,W ,Drizzle
23-11-1991,24.0,29.7,27.0,80.0,1.5,4.2,5.0,350.0,1.0,N ,Drizzle
24-11-1991,23.0,30.0,25.6,84.0,2.0,2.4,3.0,10.0,0.0,N ,Drizzle
25-11-1991,24.0,30.4,26.8,79.0,0.0,0.0,4.0,40.0,1.0,N ,Sun
26-11-1991,24.0,32.1,27.3,78.0,0.0,2.4,3.0,20.0,1.0,N ,Sun
27-11-1991,24.0,31.2,26.9,78.0,0.0,1.6,3.0,280.0,0.0,W ,Sun
28-11-1991,25.0,29.7,27.1,78.0,0.6,4.5,3.0,360.0,1.0,N ,Sun
29-11-1991,25.0,31.6,27.6,74.0,0.0,1.2,4.0,30.0,0.0,NE,Sun
30-11-1991,25.0,32.0,28.1,75.0,0.0,4.1,5.0,340.0,2.0,N ,Sun
01-12-1991,24.0,28.7,26.7,82.0,8888.0,3.0,2.0,70.0,0.0,E ,Rain
02-12-1991,23.0,30.8,26.3,84.0,47.2,0.0,3.0,270.0,1.0,E ,Rain
03-12-1991,23.0,31.5,26.3,84.0,0.0,0.0,3.0,10.0,0.0,NE,Sun
04-12-1991,24.0,32.5,26.4,84.0,24.7,2.5,6.0,300.0,2.0,W ,Rain
05-12-1991,24.0,32.9,28.1,74.0,4.8,2.0,4.0,270.0,1.0,W ,Drizzle
06-12-1991,24.0,31.6,27.6,76.0,3.9,3.2,6.0,360.0,2.0,N ,Drizzle
07-12-1991,25.0,31.6,27.8,76.0,8.6,0.0,7.0,310.0,2.0,NW,Rain
08-12-1991,25.0,29.0,26.1,86.0,4.5,3.0,4.0,350.0,1.0,N ,Drizzle
09-12-1991,23.0,30.2,26.7,80.0,1.7,0.0,3.0,250.0,2.0,W ,Drizzle
10-12-1991,23.0,31.0,27.2,77.0,8.0,0.0,4.0,330.0,2.0,W ,Rain
11-12-1991,25.0,32.0,27.1,86.0,0.0,5.2,5.0,280.0,2.0,SW,Sun
