Target_Variable,Target_Name,Model_Type,Forecast_Horizon,Forecast_Label,MSE,RMSE,MAE,R2_Score,Model_Algorithm,Target_Unit,Target_Range
RR,Rainfall (mm),Single_Day,0,Today,284.69095,16.8728,8.0253,0.3901,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,0,Today,321.716802,17.9365,11.5146,0.3108,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,1,1_Day_Ahead,368.220194,19.1891,10.0583,0.2112,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,2,2_Day_Ahead,428.294572,20.6953,11.8325,0.0825,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,3,3_Day_Ahead,450.363944,21.2218,13.1207,0.0352,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,4,4_Day_Ahead,439.299541,20.9595,12.1571,0.0589,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,5,5_Day_Ahead,440.229013,20.9816,12.6623,0.0576,GradientBoostingRegressor,mm,"[0, ∞)"
Tavg,Average Temperature (°C),Single_Day,0,Today,0.304856,0.5521,0.4033,0.7653,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,0,Today,0.292175,0.5405,0.4022,0.775,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,1,1_Day_Ahead,0.783499,0.8852,0.6568,0.3968,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,2,2_Day_Ahead,0.876848,0.9364,0.7115,0.3249,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,3,3_Day_Ahead,0.887572,0.9421,0.7139,0.3166,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,4,4_Day_Ahead,0.971831,0.9858,0.7469,0.2518,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,5,5_Day_Ahead,0.984297,0.9921,0.754,0.2428,GradientBoostingRegressor,°C,"(-∞, ∞)"
ddd_car,Wind Direction,Single_Day,0,Today,7303.654105,85.4614,73.6248,0.0813,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,0,Today,7434.817556,86.2254,75.8588,0.0648,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,1,1_Day_Ahead,7882.006,88.7807,77.5209,0.0086,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,2,2_Day_Ahead,7937.154009,89.0907,75.9521,0.0016,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,3,3_Day_Ahead,8132.04498,90.1779,78.8086,-0.0229,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,4,4_Day_Ahead,7949.565198,89.1603,77.0034,0.0001,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,5,5_Day_Ahead,7889.219173,88.8213,78.0193,0.0073,GradientBoostingRegressor,degrees,"[0, 360)"
ff_avg,Wind Speed (m/s),Single_Day,0,Today,0.244658,0.4946,0.3041,0.4266,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,0,Today,0.306392,0.5535,0.3881,0.282,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,1,1_Day_Ahead,0.470002,0.6856,0.4587,-0.1015,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,2,2_Day_Ahead,0.529921,0.728,0.5186,-0.2419,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,3,3_Day_Ahead,0.4556,0.675,0.4626,-0.0677,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,4,4_Day_Ahead,0.500871,0.7077,0.5008,-0.1738,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,5,5_Day_Ahead,0.53773,0.7333,0.5352,-0.259,GradientBoostingRegressor,m/s,"[0, ∞)"
ss,Sunshine Duration (hours),Single_Day,0,Today,6.2444,2.4989,1.9432,0.4306,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,0,Today,7.277171,2.6976,2.2277,0.3364,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,1,1_Day_Ahead,5.733926,2.3946,1.996,0.4771,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,2,2_Day_Ahead,7.957711,2.8209,2.3418,0.2744,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,3,3_Day_Ahead,8.584916,2.93,2.4146,0.2172,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,4,4_Day_Ahead,8.728055,2.9543,2.4454,0.2041,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,5,5_Day_Ahead,8.476893,2.9115,2.4093,0.2277,GradientBoostingRegressor,hours,"[0, 24]"
