Rank,Feature_Name,Feature_Type,Average_Importance,Std_Importance,RR_Importance,ss_Importance,Tavg_Importance,ddd_car_Importance,ff_avg_Importance
1,Rain_Streak,Engineered,0.166839,0.107398,0.146998,0.310364,0.008406,0.258289,0.110138
2,Tx,Original,0.145973,0.115247,0.125054,0.176424,0.350984,0.039092,0.038312
3,RH_avg,Original,0.11777,0.1029,0.181979,0.056165,0.289778,0.040267,0.020659
4,ff_x,Original,0.112558,0.180601,0.01888,0.024316,0.002177,0.044679,0.472739
5,Heat_Index,Engineered,0.059354,0.040529,0.070344,0.037067,0.133638,0.034696,0.021024
6,Tn,Original,0.056491,0.033237,0.061648,0.032079,0.119283,0.036997,0.032448
7,DayOfYear_cos,Engineered,0.047417,0.016667,0.058849,0.035216,0.020802,0.064714,0.057505
8,Temp_Range_RH,Engineered,0.039855,0.016596,0.03842,0.031098,0.014579,0.061498,0.05368
9,Temp_Humidity,Engineered,0.039707,0.018782,0.048124,0.037009,0.015187,0.07041,0.027803
10,Dry_Streak,Engineered,0.037697,0.040343,0.055903,0.108652,0.004753,0.016879,0.002297
11,ddd_x,Original,0.03391,0.03034,0.029122,0.017033,0.005596,0.092398,0.025399
12,DayOfYear_sin,Engineered,0.032013,0.020497,0.037596,0.036143,0.006322,0.06515,0.014854
13,Temp_Range,Engineered,0.021452,0.009673,0.021093,0.030331,0.003169,0.024473,0.028195
14,Dew_Point,Engineered,0.016316,0.007066,0.024471,0.01989,0.005065,0.02075,0.011402
15,Day_sin,Engineered,0.015915,0.008966,0.019182,0.009665,0.002074,0.027419,0.021237
16,Month,Original,0.01328,0.009318,0.010549,0.0047,0.012569,0.031129,0.007454
17,Day,Original,0.012332,0.00605,0.014325,0.009371,0.00204,0.017253,0.018668
18,Day_cos,Engineered,0.009359,0.005311,0.012452,0.008026,0.000989,0.017012,0.008316
19,DayOfWeek,Original,0.008157,0.005096,0.016364,0.006963,0.000652,0.009923,0.006883
20,Month_sin,Engineered,0.005889,0.006875,0.002356,0.005802,0.001039,0.019193,0.001058
21,Season,Original,0.004613,0.006155,0.003593,0.001261,0.000284,0.001198,0.016727
22,Month_cos,Engineered,0.003103,0.001945,0.002698,0.002423,0.000616,0.006581,0.003199
