Target_Variable,Target_Name,Model_Type,Forecast_Horizon,Forecast_Label,MSE,RMSE,MAE,R2_Score,Model_Algorithm,Target_Unit,Target_Range
RR,Rainfall (mm),Single_Day,0,Today,44.72574,6.6877,1.8535,0.9042,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,0,Today,139.828184,11.8249,5.5877,0.7004,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,1,1_Day_Ahead,354.743885,18.8346,9.5733,0.24,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,2,2_Day_Ahead,415.442208,20.3824,11.5111,0.11,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,3,3_Day_Ahead,448.037069,21.1669,12.7878,0.0402,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,4,4_Day_Ahead,423.11146,20.5697,11.7139,0.0936,GradientBoostingRegressor,mm,"[0, ∞)"
RR,Rainfall (mm),Multi_Day,5,5_Day_Ahead,430.802079,20.7558,12.1021,0.0778,GradientBoostingRegressor,mm,"[0, ∞)"
Tavg,Average Temperature (°C),Single_Day,0,Today,0.099768,0.3159,0.2048,0.9232,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,0,Today,0.209895,0.4581,0.3321,0.8384,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,1,1_Day_Ahead,0.768211,0.8765,0.6454,0.4085,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,2,2_Day_Ahead,0.876818,0.9364,0.7087,0.3249,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,3,3_Day_Ahead,0.931281,0.965,0.7319,0.283,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,4,4_Day_Ahead,0.953846,0.9767,0.7365,0.2656,GradientBoostingRegressor,°C,"(-∞, ∞)"
Tavg,Average Temperature (°C),Multi_Day,5,5_Day_Ahead,0.967235,0.9835,0.7375,0.256,GradientBoostingRegressor,°C,"(-∞, ∞)"
ddd_car,Wind Direction,Single_Day,0,Today,176.665917,13.2916,4.8942,0.9778,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,0,Today,2369.502136,48.6775,39.7324,0.702,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,1,1_Day_Ahead,7744.941855,88.0054,74.1371,0.0258,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,2,2_Day_Ahead,8128.578203,90.1586,75.7993,-0.0224,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,3,3_Day_Ahead,8077.97368,89.8775,76.0647,-0.0161,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,4,4_Day_Ahead,7951.431377,89.1708,75.7864,-0.0002,GradientBoostingRegressor,degrees,"[0, 360)"
ddd_car,Wind Direction,Multi_Day,5,5_Day_Ahead,7911.330193,88.9457,78.4688,0.0045,GradientBoostingRegressor,degrees,"[0, 360)"
ff_avg,Wind Speed (m/s),Single_Day,0,Today,0.022998,0.1517,0.0487,0.9461,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,0,Today,0.143929,0.3794,0.2383,0.6627,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,1,1_Day_Ahead,0.423862,0.651,0.4122,0.0067,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,2,2_Day_Ahead,0.441871,0.6647,0.419,-0.0355,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,3,3_Day_Ahead,0.429394,0.6553,0.4153,-0.0063,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,4,4_Day_Ahead,0.451143,0.6717,0.4411,-0.0573,GradientBoostingRegressor,m/s,"[0, ∞)"
ff_avg,Wind Speed (m/s),Multi_Day,5,5_Day_Ahead,0.468389,0.6844,0.4565,-0.0966,GradientBoostingRegressor,m/s,"[0, ∞)"
ss,Sunshine Duration (hours),Single_Day,0,Today,0.192819,0.4391,0.3248,0.9824,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,0,Today,3.529807,1.8788,1.5317,0.6781,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,1,1_Day_Ahead,5.931265,2.4354,2.012,0.4592,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,2,2_Day_Ahead,7.985253,2.8258,2.3238,0.2719,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,3,3_Day_Ahead,8.672565,2.9449,2.4212,0.2092,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,4,4_Day_Ahead,8.627505,2.9373,2.4109,0.2133,GradientBoostingRegressor,hours,"[0, 24]"
ss,Sunshine Duration (hours),Multi_Day,5,5_Day_Ahead,8.563948,2.9264,2.3976,0.2198,GradientBoostingRegressor,hours,"[0, 24]"
