Rank,Feature_Name,Feature_Type,Average_Importance,Std_Importance,RR_Importance,ss_Importance,Tavg_Importance,ddd_car_Importance,ff_avg_Importance
1,ss_Rolling_Mean_3d,Original,0.139274,0.278017,0.000745,0.695308,8.3e-05,3.4e-05,0.0002
2,ff_avg_Rolling_Mean_3d,Original,0.130752,0.261303,0.000356,1.5e-05,1.3e-05,1.8e-05,0.653358
3,Tavg_Rolling_Mean_3d,Original,0.124707,0.249124,0.000266,0.000124,0.622955,5.3e-05,0.000135
4,RR_Rolling_Mean_3d,Original,0.123797,0.247048,0.617893,8.2e-05,0.000367,9.7e-05,0.000545
5,ddd_car_Rolling_Mean_3d,Original,0.106683,0.211713,0.000264,2.3e-05,0.000403,0.530104,0.00262
6,ddd_car_Lag_1,Original,0.045441,0.090721,7.5e-05,6.4e-05,7.3e-05,0.226883,0.000112
7,ddd_car_Lag_2,Original,0.040222,0.080319,5e-06,1.8e-05,0.000104,0.200859,0.000123
8,RH_avg,Original,0.030513,0.059928,0.001767,6.9e-05,0.150363,0.000208,0.000158
9,RR_Lag_1,Original,0.026654,0.052476,0.131603,5.8e-05,0.000831,1.8e-05,0.00076
10,RR_Lag_2,Original,0.02617,0.051375,0.128916,3.5e-05,0.000552,5.8e-05,0.00129
11,ss_Lag_2,Original,0.021007,0.040783,0.002121,0.102559,0.000112,0.000108,0.000136
12,ss_Lag_1,Original,0.020721,0.041069,6.6e-05,0.102859,0.000419,2.5e-05,0.000234
13,ff_avg_Lag_2,Original,0.020438,0.040532,0.000593,2.6e-05,5.8e-05,1.4e-05,0.101501
14,ff_avg_Lag_1,Original,0.019232,0.037864,0.000704,8.2e-05,0.000412,2e-06,0.094959
15,Tx,Original,0.016771,0.017133,0.011427,0.024414,0.046313,0.000149,0.00155
16,ss_Rolling_Std_3d,Original,0.012833,0.025169,0.000308,0.063169,0.000137,2.4e-05,0.000526
17,RR_Rolling_Std_3d,Original,0.011551,0.022466,0.05648,4.7e-05,0.000565,2.1e-05,0.000644
18,Heat_Index,Engineered,0.011229,0.0207,0.002616,0.000472,0.052589,1.8e-05,0.000449
19,Tavg_Lag_2,Original,0.008945,0.015953,0.003159,0.000182,0.04077,1.7e-05,0.000595
20,ff_x,Original,0.008239,0.015419,0.001896,0.000153,9.2e-05,8e-06,0.039045
21,Tavg_Rolling_Std_3d,Original,0.007614,0.014473,0.00023,0.000176,0.036552,4.7e-05,0.001067
22,ddd_car_Rolling_Std_3d,Original,0.007587,0.014743,2.8e-05,2.7e-05,2.7e-05,0.037067,0.000787
23,ff_avg_Rolling_Std_3d,Original,0.00735,0.014685,2e-05,1.1e-05,0.0,0.0,0.036719
