"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-01",,,,,,,,,,,,,"0.0","T,,Z,",,,"0.0",",,Z,","0.0",",,Z,",,,"24.4",",,Z","13.3",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-02",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"26.1",",,Z","11.1",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-03",,,,,,,,,,,,,"7.4",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"25.6",",,Z","12.2",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-04",,,,,,,,,,,,,"2.8",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"22.2",",,Z","13.9",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-05",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"26.7",",,Z","13.9",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-06",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"27.8",",,Z","13.3",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-07",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"28.9",",,Z","12.8",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-08",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"29.4",",,Z","14.4",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-09",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"30.0",",,Z","16.7",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","1940-07-10",,,,,,,,,,,,,"0.0",",,Z,2400",,,"0.0",",,Z,","0.0",",,Z,",,,"33.9",",,Z","20.0",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
