Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2010,24.6,30.9,27.9,84,6,1.9,9,315,2,NW
02-01-2010,26.3,32.4,28.8,82,8888,6.4,8,315,3,E 
03-01-2010,26.6,33.4,29.3,80,8888,6,8,315,3,NW
04-01-2010,25,30,27.2,84,8888,0,12,315,3,E 
05-01-2010,25,28,25.5,90,39,0,14,315,3,E 
06-01-2010,24.2,28.7,25.4,92,61,0,14,315,3,SE
07-01-2010,24.8,31.6,27,86,49,2.4,19,315,4,E 
08-01-2010,24.4,27.9,26.5,88,9,0,19,315,5,NW
09-01-2010,22.8,27.8,25.2,94,24,0,18,270,4,E 
10-01-2010,22.7,27,24.7,91,100,0,9,225,2,NE
11-01-2010,23.8,27.2,25.2,95,48,0,12,315,3,W 
12-01-2010,25.2,29.8,27.4,84,44,0,18,315,6,NW
13-01-2010,24,29.8,26.6,90,50,0,21,315,6,NW
14-01-2010,24,27.6,25.2,94,43,0,16,315,6,W 
15-01-2010,24.4,30.7,28.2,80,110,4.2,13,315,6,NW
16-01-2010,24.6,30.6,27.7,88,2,1.9,14,315,4,NW
17-01-2010,23.2,26.1,24.9,96,16,0,14,270,3,SE
18-01-2010,23.2,30.2,26.3,88,58,1.9,12,270,3,E 
19-01-2010,23.2,26.8,25.1,94,25,0,12,360,2,E 
20-01-2010,24,27.3,25.1,94,45,0,16,315,3,E 
21-01-2010,24,29.8,26,91,42,1.9,22,315,3,E 
22-01-2010,24.6,32,27.6,84,14,8,8,360,2,E 
23-01-2010,25.1,31.8,27.1,86,9,3.9,9,315,4,NW
24-01-2010,25.8,30.4,28.5,83,1,5.7,8,315,3,NW
25-01-2010,24.8,31.9,28,82,8888,3.1,14,315,2,E 
26-01-2010,24.9,30.2,26.5,88,17,3.7,11,315,3,E 
27-01-2010,24.4,31.4,26.8,86,2,2.3,10,315,2,E 
28-01-2010,24.4,29.4,26.2,89,17,0.4,14,315,2,E 
29-01-2010,25,31.6,26.5,88,7,3,11,315,2,NW
30-01-2010,24.7,30.9,26.3,90,9,2.7,12,360,3,NW
31-01-2010,24.2,28.3,25.9,94,26,0,10,360,3,NE
01-02-2010,24.1,31.2,26.3,89,42,1.8,11,315,3,E 
02-02-2010,24.2,28.4,25.4,92,18,0,11,360,2,E 
03-02-2010,24.7,30,26.8,87,9,0.3,8,315,2,E 
04-02-2010,24.6,32.6,28.2,83,4,4.9,8,270,2,SE
05-02-2010,25.1,33,28.8,81,8888,8,13,315,3,E 
06-02-2010,23.9,29.4,26.8,86,10,0,11,315,2,E 
07-02-2010,23.9,30.4,26.7,88,42,3.4,8,360,3,SE
08-02-2010,25,32,27.8,80,1,7.8,8,270,2,W 
09-02-2010,25.5,32.1,27.4,81,8888,4.9,9,225,2,SE
10-02-2010,25.5,32.8,28.3,82,8888,5.8,8,225,2,E 
11-02-2010,25.2,31.6,28,84,8888,2.9,15,90,3,W 
12-02-2010,25,30.6,27.6,86,19,2.4,7,315,2,E 
13-02-2010,25.4,32.3,28.5,79,1,7.2,7,270,2,SE
14-02-2010,25.5,32.9,28.5,80,8888,6.8,10,270,3,SE
15-02-2010,25.2,32.4,28.3,82,2,7.3,11,360,2,E 
16-02-2010,25.2,31.2,27.5,86,19,2.6,11,315,2,SE
17-02-2010,25.4,33.3,29,80,5,7,7,315,2,E 
18-02-2010,25.6,32.6,28.7,80,10,6.5,7,270,2,E 
19-02-2010,24.3,32.1,27.8,84,8888,1.6,12,315,3,E 
20-02-2010,24.3,30.1,26.7,90,180,0,11,270,2,E 
21-02-2010,25,30.1,27.3,89,1,4.1,11,270,3,NW
22-02-2010,24.2,31.7,27.9,78,1,4.3,10,270,2,E 
23-02-2010,24.4,30.7,27,90,45,0,8,270,2,E 
24-02-2010,24.9,32,28,82,8888,7.7,6,315,2,W 
25-02-2010,25,32.7,28.3,84,8888,5.3,15,315,4,W 
26-02-2010,25.2,32.5,28.4,86,19,4.3,9,270,3,E 
27-02-2010,26.5,33.1,29.1,82,1,8,6,360,3,NW
28-02-2010,27,33.7,29.6,82,8888,5.1,7,315,3,NW
01-03-2010,26.4,33,29.2,81,8888,6.6,9,315,3,NW
02-03-2010,26.4,33.5,29.5,78,8888,8,7,315,3,NW
03-03-2010,25.2,33.2,29.3,78,8888,6.6,8,315,3,NW
04-03-2010,25.2,33.2,28.4,84,25,4.2,10,360,2,SE
05-03-2010,24.6,33,28.1,81,8888,6.2,12,360,3,N 
06-03-2010,24.6,33,27.9,84,50,5.8,8,270,2,SE
07-03-2010,26,33,29.1,77,8888,7.3,6,270,2,E 
08-03-2010,25.3,31.8,27.7,82,8888,2.1,10,315,2,SE
09-03-2010,25.5,32.6,28,79,10,7,8,270,2,E 
10-03-2010,25.6,33.2,28,81,8888,6.3,8,270,3,SE
11-03-2010,24.5,31.7,27.3,85,8888,3.9,9,90,3,E 
12-03-2010,24.2,31.6,27.7,83,35,0.5,6,270,2,E 
13-03-2010,25.2,32.4,28.4,80,8888,8,8,225,2,E 
14-03-2010,25.8,32.7,28.7,80,8888,8,7,270,2,SE
15-03-2010,25.8,32.8,28.8,77,8888,7.3,7,270,2,SE
16-03-2010,25.6,32.5,28.6,77,8888,7.9,7,270,2,SE
17-03-2010,25,32.8,28.7,76,8888,7.6,9,270,2,SE
18-03-2010,25,32.9,28.5,76,8888,8,8,270,3,W 
19-03-2010,25.7,32.8,28.8,79,8888,7.6,7,270,2,E 
20-03-2010,25.7,31.6,28.3,78,8888,4.3,6,270,2,E 
21-03-2010,26,32.5,28.7,78,8888,1.1,5,270,2,SE
22-03-2010,26,32.9,28.9,77,8888,6.1,6,270,2,SE
23-03-2010,25.2,32.5,28.1,80,8888,6.7,8,270,2,SE
24-03-2010,25,33.3,28.8,78,8888,7,7,270,2,E 
25-03-2010,26.8,32.6,29.3,80,1,6.4,11,360,2,NW
26-03-2010,25,33.2,28.7,82,1,2.7,6,225,2,SE
27-03-2010,25.2,32.7,27.7,80,8888,5.8,13,315,4,E 
28-03-2010,24.9,28.1,26.6,94,58,0,8,315,2,E 
29-03-2010,24.7,29.8,27.2,90,55,0,9,360,2,SE
30-03-2010,24,29.6,26.4,89,8888,0,10,90,2,E 
31-03-2010,24.2,26.5,25.4,94,44,0,11,315,3,E 
01-04-2010,25.4,31.1,27.7,81,42,5.1,11,360,2,NW
02-04-2010,25.6,32.8,28.4,84,19,5.6,6,315,2,NW
03-04-2010,25.2,32.5,29,82,8888,4.7,9,270,2,E 
04-04-2010,25.8,30.8,27.8,88,14,2.6,8,360,2,NW
05-04-2010,25,33.4,28.4,83,8888,7.1,14,315,2,E 
06-04-2010,25.2,32.3,28.1,82,8888,4.9,6,360,2,N 
07-04-2010,26,33.3,29,79,7,7.8,10,225,2,SE
08-04-2010,25.6,33.4,27.9,84,8888,5,14,315,2,E 
09-04-2010,24.6,29.8,26.6,88,10,0,13,270,2,SE
10-04-2010,24.6,33.3,27.8,84,12,5.9,14,315,2,E 
11-04-2010,25,33,28.4,78,8888,8,7,315,3,NW
12-04-2010,26.1,30.5,27.8,84,8888,1,9,315,3,SE
13-04-2010,26,34.6,29,79,6,8,10,45,2,E 
14-04-2010,25.4,32.9,29,83,6,2.7,14,360,2,NW
15-04-2010,25,33,28.8,83,9,5.1,7,315,2,NW
16-04-2010,26.8,33.4,29.4,82,8888,7.4,8,315,3,NW
17-04-2010,25.4,33.2,27.2,85,8888,3.7,14,315,3,E 
18-04-2010,25.4,32.8,28.4,83,14,0,11,45,3,NW
19-04-2010,24.8,31.2,27.2,88,38,1.4,14,270,3,E 
20-04-2010,24.8,31.2,26.7,90,21,0.3,8,225,2,E 
21-04-2010,26,33.1,28.8,84,3,0,9,315,3,NW
22-04-2010,26,33.4,29.2,78,8888,7.5,6,270,2,SE
23-04-2010,26.7,33.4,30,76,8888,7.3,6,225,2,SE
24-04-2010,25.6,34,29.6,81,8888,6,7,315,2,E 
25-04-2010,25,33.3,28.3,84,3,7.4,7,270,2,SE
26-04-2010,26,33,28.8,81,8888,6.1,6,270,2,SE
27-04-2010,26.6,33.7,29.6,76,8888,7.9,8,45,3,E 
28-04-2010,24.2,32.8,29.2,82,8888,8,10,315,4,E 
29-04-2010,24.9,32.2,28.3,82,26,4.9,6,315,2,NW
30-04-2010,26.2,33.5,29.4,79,8888,7.3,6,315,2,SE
01-05-2010,26.2,33.7,29.3,78,8888,6.2,8,270,2,E 
02-05-2010,26.9,32.3,29.2,81,8888,3.1,7,270,2,SE
03-05-2010,25.6,31.7,28.7,84,5,1.5,6,270,2,SE
04-05-2010,25.5,33,28.8,84,1,7.1,7,270,2,E 
05-05-2010,26,34.4,28.4,84,8888,6.1,8,315,2,SE
06-05-2010,26,29,27,89,18,0,4,90,1,SE
07-05-2010,26,33.4,28.4,85,1,5.5,9,360,2,E 
08-05-2010,26.2,33.3,29,83,1,8,8,270,2,E 
09-05-2010,26.6,33.2,28.6,81,8888,3.9,7,90,2,SE
10-05-2010,26,34,28.8,80,8888,5,8,90,2,SE
11-05-2010,25.2,34,27.8,85,8888,3.4,8,270,2,SE
12-05-2010,25.3,33.2,28.5,82,4,6.8,6,270,2,SE
13-05-2010,26,33.3,28.7,82,8888,0,10,315,3,SE
14-05-2010,25,28.3,26.5,97,30,0,6,45,2,SE
15-05-2010,25,33.2,28.7,80,31,6.3,7,270,2,W 
16-05-2010,25.4,32,28.6,86,3,0.8,8,270,2,SE
17-05-2010,25.4,33.5,28.3,80,8888,5.7,6,270,2,E 
18-05-2010,25.8,34.5,29.2,81,8888,6.1,6,270,2,SE
19-05-2010,26.2,33.5,29,79,1,6.2,7,180,2,SE
20-05-2010,26.2,34,28.8,82,1,6.9,6,135,2,SE
21-05-2010,26.2,33.3,28.3,84,4,4.2,11,360,3,E 
22-05-2010,25.2,29,27,89,7,0,8,270,2,E 
23-05-2010,25.2,33.1,28.6,82,13,7.6,8,315,2,E 
24-05-2010,25.8,33.5,28.6,82,8888,6.1,6,270,2,E 
25-05-2010,26.5,32.6,29,82,7,3.2,6,270,2,SE
26-05-2010,26.4,34.2,29.5,82,8888,5.6,11,360,2,E 
27-05-2010,25.8,33.6,29.1,81,8888,8,8,90,2,NW
28-05-2010,25.8,32.2,28.3,85,14,4.1,5,90,2,NW
29-05-2010,25.8,32.2,28.5,84,8888,4.6,6,360,2,SE
30-05-2010,25.3,34,29.2,80,3,5.8,6,315,2,SE
31-05-2010,25.2,33.5,28.2,81,8888,5.1,7,90,2,SE
01-06-2010,25.4,32,28.3,82,9,2.8,6,270,2,SE
02-06-2010,26.7,32,28.8,85,1,3.2,6,360,1,N 
03-06-2010,25.7,33.6,29.4,81,8888,6.6,9,45,3,SE
04-06-2010,25.7,34.3,29.1,76,1,7.4,7,225,2,E 
05-06-2010,24.3,33.5,29,76,8888,7.8,8,270,2,SE
06-06-2010,26,33.3,29,79,8888,5.1,6,315,2,SE
07-06-2010,25.6,33.6,29.7,76,8888,6.6,7,270,2,W 
08-06-2010,25.2,31.9,27.6,84,5,2.8,8,270,2,SE
09-06-2010,24.4,32.8,28.2,81,16,5.7,9,135,3,E 
10-06-2010,24.5,30.6,27,85,10,0.2,4,270,1,E 
11-06-2010,25.7,32.6,28.3,85,2,2.8,8,360,2,E 
12-06-2010,25.8,32.2,27.8,84,3,7,7,90,2,W 
13-06-2010,25,32.5,29.3,79,1,1.8,6,225,1,E 
14-06-2010,25.4,32.2,27.8,85,8888,4.5,16,225,1,E 
15-06-2010,25,31.7,27.1,89,13,1.9,5,270,1,SE
16-06-2010,24.9,30.2,26.8,88,2,0.1,5,45,1,SE
17-06-2010,25.4,32.1,28.4,79,1,3.3,6,270,2,SE
18-06-2010,25.4,31.3,28,81,8888,4,6,270,2,SE
19-06-2010,25,31.9,28.4,79,8888,5.6,8,135,2,SE
20-06-2010,24,33.1,28.8,70,8888,7,8,45,2,SE
21-06-2010,24,33.2,27.9,74,8888,6.7,7,45,2,E 
22-06-2010,25.2,32.8,28.4,75,8888,5.6,10,45,2,W 
23-06-2010,24,31.5,27.3,86,1,3.9,11,360,3,SE
24-06-2010,24,30.3,26.6,89,18,1.9,6,45,2,SE
25-06-2010,24.2,32.2,26.5,85,8,8,8,225,2,S 
26-06-2010,24.6,32.6,28.1,90,23,3.8,8,360,2,SE
27-06-2010,24.8,31.6,26.8,82,10,6.3,8,225,2,SE
28-06-2010,25,31.8,27.7,78,8888,5.5,7,270,2,SE
29-06-2010,25,32.2,28,72,8888,3.1,6,270,2,SE
30-06-2010,25.6,31.2,27.8,78,8888,1,4,360,1,SE
01-07-2010,25.6,32.1,28.4,80,8888,7.9,6,270,2,SE
02-07-2010,25.6,32.8,28.7,79,8888,8,8,225,2,W 
03-07-2010,25,32.5,29,78,8888,7.2,7,270,2,E 
04-07-2010,25,31.7,27.4,81,2,0,8,135,2,N 
05-07-2010,24.4,30.6,27.1,86,8888,2.6,8,315,2,E 
06-07-2010,24.4,31.2,27.3,85,12,8,6,315,2,NW
07-07-2010,24.6,32.3,27.8,83,8888,7.4,6,270,2,SE
08-07-2010,24.6,32.5,27.9,80,8888,6.7,7,270,2,SE
09-07-2010,24.6,31.8,28.3,74,8888,3,9,225,2,E 
10-07-2010,24.6,31.5,28.1,77,2,6.8,7,270,2,SE
11-07-2010,25,32.4,27.4,82,8888,5,6,270,2,SE
12-07-2010,25.3,32.1,28.3,82,1,7,8,225,2,NE
13-07-2010,23.8,32.5,28.9,74,1,7.9,8,270,3,E 
14-07-2010,23.6,29.5,26,86,22,0.1,7,270,1,W 
15-07-2010,25.1,32.2,28,78,6,7.9,7,90,2,W 
16-07-2010,25.6,32.4,28.5,79,8888,5.6,7,225,2,W 
17-07-2010,25.8,32.3,27.9,83,2,4.6,6,270,2,SE
18-07-2010,26,33.1,28.7,77,1,7.8,7,315,2,W 
19-07-2010,25.2,33.1,28.9,76,8888,6.3,9,135,2,SE
20-07-2010,24.6,31.8,28,81,8888,6.5,8,270,2,W 
21-07-2010,24,31.4,27.6,76,8888,6.2,6,270,2,SE
22-07-2010,24,32,27.3,70,8888,4.1,8,180,2,SE
23-07-2010,25.1,29.9,27.1,79,8888,0.9,4,45,1,SE
24-07-2010,25,32,28.1,78,8888,6.5,7,180,2,W 
25-07-2010,24.6,30.4,27.2,86,7,1.3,9,360,2,E 
26-07-2010,23.2,30.1,26.5,91,7,2,7,315,2,E 
27-07-2010,23.2,31.4,26.5,86,35,6.5,6,90,2,SE
28-07-2010,25,31.8,27.9,82,1,8,7,270,2,SE
29-07-2010,24,31.7,27.6,82,8888,3.5,7,270,2,W 
30-07-2010,25.4,32.7,28.4,83,8888,5.5,8,360,2,SE
31-07-2010,25.8,32.4,28,78,1,6,8,270,2,S 
01-08-2010,25.8,33.2,28.4,77,8888,7,8,270,2,SE
02-08-2010,25.2,30.5,27.7,84,8888,0.4,6,90,2,E 
03-08-2010,25.3,32,27.5,81,8888,3.3,8,270,2,SE
04-08-2010,24,30,25.9,89,8888,0.5,8,225,2,SE
05-08-2010,24,32,27.3,82,6,6.5,6,270,2,SE
06-08-2010,24.8,32.4,27.9,78,8888,7.5,7,90,2,SE
07-08-2010,25.7,32.4,28.2,77,8888,2.8,8,45,2,SE
08-08-2010,26,32.5,28.6,75,8888,3.7,8,45,2,W 
09-08-2010,26,32.2,28.5,76,8888,1.9,5,270,2,W 
10-08-2010,25.8,31.8,28.4,78,8888,0.8,6,270,2,SE
11-08-2010,24.9,33,28.3,78,8888,5.2,8,90,2,SE
12-08-2010,24.9,33,28.2,79,8888,6.5,8,270,2,SE
13-08-2010,25.6,33.2,28.7,80,8888,8,7,270,2,W 
14-08-2010,25.2,32.6,30.1,73,8888,7.8,8,270,2,SE
15-08-2010,24.1,32.7,28.3,72,8888,8,7,225,2,SE
16-08-2010,24.1,32.3,27.7,72,8888,8,8,270,2,W 
17-08-2010,25.2,32.6,28.4,76,8888,8,8,270,2,SE
18-08-2010,26.4,31,28.2,79,8888,1.7,8,135,2,E 
19-08-2010,25.6,29.4,27.2,86,8,0.3,6,270,2,SE
20-08-2010,25,31.8,28.1,81,8888,8,8,270,2,W 
21-08-2010,25.6,31.8,27.9,81,8888,6.5,8,315,3,NW
22-08-2010,23.7,31.5,27.5,85,10,5.4,15,360,3,NW
23-08-2010,23.4,31.1,26.8,86,28,5.4,8,270,2,SE
24-08-2010,24,32,26.7,80,1,6.2,7,270,2,E 
25-08-2010,25.2,32.2,28.4,78,4,3.5,9,90,3,SE
26-08-2010,24.4,32.5,27.6,80,8888,5.5,9,225,2,SE
27-08-2010,24.3,33,28.1,72,8888,7.4,9,225,2,E 
28-08-2010,25.2,32.5,28.7,73,8888,8,9,270,3,E 
29-08-2010,25,33,28.8,77,8888,7.4,8,270,2,W 
30-08-2010,25,32.9,28.6,71,8888,8,9,225,2,SE
31-08-2010,24.6,32.7,28.8,73,8888,8,8,270,2,W 
01-09-2010,24.8,32.4,29,70,8888,8,6,270,2,W 
02-09-2010,24.8,32.8,28.5,68,8888,7.8,8,225,3,SE
03-09-2010,24.9,32.7,27.5,82,5,0,8,225,2,SE
04-09-2010,26,32.4,28.3,78,8888,7.2,8,360,4,N 
05-09-2010,25.6,31.6,28.1,82,8888,2.4,7,135,2,N 
06-09-2010,24.6,31.5,27.6,86,8,5.3,8,315,2,E 
07-09-2010,24.6,31.8,26.8,86,35,6.2,9,135,2,E 
08-09-2010,24.1,30.9,26,89,44,3.2,8,315,2,E 
09-09-2010,24.5,30.6,26.9,84,8,4.1,5,315,2,SE
10-09-2010,24.6,32.1,27.4,79,4,3.8,7,360,2,E 
11-09-2010,24.8,31.4,27.2,83,1,3.5,8,90,2,E 
12-09-2010,24.8,31.2,27.3,81,3,5.3,8,225,2,SE
13-09-2010,24,31.9,27.9,78,2,8,7,270,2,SE
14-09-2010,25.2,32.6,28.7,73,8888,6.1,7,225,2,SE
15-09-2010,25.1,33,28.7,76,8888,7.7,8,90,2,W 
16-09-2010,25.3,32.2,27.5,83,39,5.4,8,90,2,E 
17-09-2010,24.4,32.8,28,80,3,7.7,8,270,2,SE
18-09-2010,24.4,33,28.3,79,12,6.3,7,270,2,SE
19-09-2010,24.5,33,28.1,78,2,5.4,8,45,3,E 
20-09-2010,25.2,32.3,28.2,80,2,3.8,8,90,2,SE
21-09-2010,25.4,33.1,28.7,79,2,6.7,6,225,2,SE
22-09-2010,25.8,33,27.7,82,8888,4,8,90,2,E 
23-09-2010,25.8,33.1,28.7,82,12,8,7,225,2,SE
24-09-2010,25.8,33.3,29.3,81,8888,3.7,10,270,2,SE
25-09-2010,25,32,28,80,1,5.3,9,270,2,SE
26-09-2010,25,33.2,28.7,80,45,6.2,9,270,2,SE
27-09-2010,25.5,32.6,28.2,79,8888,8,10,360,3,W 
28-09-2010,25,31.3,27.9,80,2,3.1,10,270,2,W 
29-09-2010,24,32.5,28.3,81,1,7.3,7,135,2,SE
30-09-2010,25.4,33.4,29,78,8888,7.4,7,360,2,SE
